drug_id,old_selling_price
409255,204.0
409443,102.28
409506,259.38
409656,140.9
409777,65.34
409917,178.01
410278,185.76
410335,805.0
411226,192.29
411342,152.16
411427,75.67
411886,163.2
412404,449.65
412840,90.04
413165,88.45
413314,124.1
413402,82.22
414019,545.86
414059,1712.28
414118,356.25
414395,168.36
414935,47.94
414952,50.23
414982,467.5
415306,82.5
415544,76.5
415823,29.53
415916,62.89
416573,182.49
416914,654.29
417069,63.34
417072,148.75
417132,131.48
417150,166.6
417183,159.38
417300,178.6
417325,288.75
417607,72.9
417996,166.57
418141,116.45
418660,207.82
418732,113.98
419136,148.5
419148,72.0
419376,566.51
419401,184.5
419530,128.26
419637,710.97
419649,298.83
419766,455.41
420286,306.1
420558,162.9
421278,9.89
421290,362.18
421293,94.04
421513,138.66
421968,43.51
422512,52.6
422721,307.6
422808,63.9
422887,208.25
423549,226.31
423565,74.25
423651,30.61
423829,235.13
423906,150.52
423921,253.76
424208,61.36
424997,234.29
425332,76.5
425386,88.51
425396,1048.8
425423,23.0
425534,439.08
425569,42.38
425749,30.26
426229,219.3
426342,91.23
426404,186.2
426680,89.81
429594,68.6
429800,146.57
431002,108.73
432002,32.67
432824,144.81
434338,107.1
434447,301.75
435531,92.0
435707,202.65
436147,141.61
436182,1247.8
436203,207.47
436671,312.05
437584,99.61
438197,147.05
438419,128.94
439919,45.79
440651,94.04
441270,71.54
441327,86.06
441685,262.61
442161,51.39
442561,266.25
442896,71.71
443400,113.15
443589,270.3
444975,124.33
445339,227.11
445516,73.0
446131,215.16
447025,96.02
448434,199.22
449124,681.45
453102,71.4
453600,139.45
456138,240.3
457029,168.55
459261,517.5
459279,957.01
459300,3.88
459912,151.44
460122,163.67
463661,127.5
464501,282.89
464983,153.3
465124,120.33
465185,18.99
467312,183.29
467870,92.82
468122,34.99
469007,196.48
470911,94.05
473565,100.4
474216,95.2
475836,249.56
480228,105.06
484479,113.61
485467,124.31
485828,71.71
485868,225.0
486006,16.45
486149,146.63
486305,143.63
486307,238.0
486344,133.03
486404,717.19
486735,123.81
486779,192.49
486917,216.75
487037,203.19
487152,226.14
487265,114.0
487464,133.08
487508,51.0
487577,20.0
487579,46.0
487584,31.0
487592,122.8
487617,490.08
487638,91.64
487681,142.63
487747,173.32
487888,105.87
487937,134.81
488082,60.65
488104,85.85
488121,29.0
488126,69.0
488261,241.35
488295,119.0
488389,391.66
488437,51.0
488480,153.59
488590,144.5
488638,140.25
488667,94.83
488713,152.6
488744,159.69
488754,189.09
488786,153.0
488888,109.8
488934,50.2
488957,131.49
489093,132.6
489179,70.24
489232,188.06
489346,157.39
489437,26.0
489438,16.0
489467,309.99
489510,731.84
489558,143.69
489574,348.68
489604,168.33
489633,95.63
489814,53.79
489852,406.73
490163,277.31
490313,243.84
490325,48.32
490326,60.91
490329,259.25
490354,177.19
490384,988.0
490501,200.43
490561,166.6
490927,199.21
490991,152.15
491174,100.0
491193,250.22
491290,272.54
491461,885.0
491509,34.0
491522,26.0
491531,17.0
491633,158.06
491636,137.78
491697,493.56
491762,527.25
491820,71.0
491872,105.73
492074,378.25
396679,115.54
397009,185.64
397011,54.15
397501,159.8
397647,177.18
397711,82.88
398563,72.45
398873,181.86
398933,76.0
398949,178.5
399013,60.0
399191,63.84
399293,110.7
399567,483.77
399601,64.0
399697,57.0
399717,91.59
399737,192.28
399833,61.52
400087,130.69
400225,72.0
400329,232.03
400349,43.87
400353,112.13
400387,52.25
400397,126.0
400671,170.0
400709,126.0
401116,155.16
401176,212.5
401392,147.26
401458,34.0
401875,338.67
402005,142.94
402152,316.97
402218,396.52
402462,149.6
402603,215.99
402765,122.53
403866,118.75
404247,203.2
405000,270.0
406014,76.5
406032,168.3
406053,99.61
406098,268.2
406177,111.15
406405,239.54
406452,237.79
406573,206.03
406746,141.14
406798,685.0
406815,92.09
406854,283.69
407064,370.55
407787,179.09
407855,44.56
407858,21.98
407900,49.99
408017,30.86
408148,18.88
408288,55.78
408562,133.12
409077,314.1
409434,94.73
409527,121.5
409606,230.46
409705,136.8
409849,226.8
409944,109.96
410124,284.24
410193,208.79
410346,83.25
410370,1253.96
410397,137.7
410564,96.9
410739,138.55
411024,1023.44
411265,183.18
411420,108.51
411601,105.99
411697,58.0
412594,85.85
413051,41.0
413449,69.0
413534,162.16
413824,322.2
413843,222.3
413981,51.75
414139,22.27
414785,58.0
415004,189.85
415289,35.1
415534,455.4
415945,16.74
416629,99.61
416651,115.99
416806,449.1
416866,4363.69
416939,711.45
417073,91.26
417522,126.1
417972,163.25
418470,141.07
418521,56.78
418831,122.46
419209,136.0
419500,57.16
419946,216.75
420019,13.77
420244,66.94
420423,140.25
420685,362.58
420696,167.56
420735,47.98
420829,190.45
420874,369.75
421069,143.71
421159,429.17
421315,133.03
421354,113.81
421470,47.25
421608,172.63
421638,149.75
421969,87.65
422154,603.5
422293,615.85
422385,280.5
422878,168.18
422920,72.25
423276,51.0
423352,126.94
423654,310.79
424416,158.1
424763,77.0
424866,55.51
424962,61.25
425150,161.04
425235,125.91
425609,117.94
425650,150.51
425671,110.76
425714,294.95
426075,136.0
429110,54.4
429246,339.15
429506,148.32
429758,395.25
430150,47.12
430339,63.75
430461,151.35
430819,171.32
431052,162.22
431074,228.54
431094,245.65
431883,194.44
432624,139.97
432747,48.53
432925,105.83
433046,288.29
434395,525.3
436528,449.1
436704,70.92
437309,203.19
437489,125.11
437492,483.39
437672,78.98
438101,61.36
438152,139.64
438326,425.9
438970,259.12
438999,173.95
439783,104.79
439883,64.46
439907,125.98
439944,188.06
440089,175.5
440455,47.8
440718,109.97
441640,567.0
441993,50.6
