sale_date,store_name,pilot,direction,gain_rev,gain_rgm
2026-07-01,Palegaon Ambernath,0,flat,-45.570000000000014,38.62167303199475
2026-07-01,Palegaon Ambernath,0,increased,338.08000000000004,349.95392709355815
2026-07-01,Panchpakhadi,0,decreased,55.66999999999999,49.64923449542956
2026-07-01,Panchpakhadi,0,flat,71.49999999999997,114.39723131782911
2026-07-01,Panchpakhadi,0,increased,1619.8700000000001,1540.5900933112061
2026-07-01,Pantnagar,0,decreased,34.0,38.2695051267733
2026-07-01,Pantnagar,0,flat,-55.51000000000009,-7.791244422234394
2026-07-01,Pantnagar,0,increased,644.58,527.6372111913289
2026-07-01,Panvel - Uran Naka,0,decreased,28.200000000000003,66.09134631276886
2026-07-01,Panvel - Uran Naka,0,flat,-33.01999999999996,34.3344136205188
2026-07-01,Panvel - Uran Naka,0,increased,736.97,720.5092476812616
2026-07-01,Phadke Road - Dombivali,0,decreased,-12.800000000000068,-6.015276897263135
2026-07-01,Phadke Road - Dombivali,0,flat,31.889999999999887,-33.752233727538766
