window,store_name,pilot,revenue,cogs
post,Thakur Complex,0,2057911.27,1233145.0482
post,Thergaon,0,1070964.55,701294.4157
post,Tilak Road Pune,0,1515518.08,1010445.3338
post,Tilaknagar,0,1824119.44,1075023.1306
post,Titwala,0,2410357.88,1654163.0455
post,Trimurti Chowk Nashik,0,606465.53,430410.4073
post,Ulhas Nagar - Shahad,0,963948.27,594911.9332
post,Ulhas Nagar - Shreeram Chowk,0,705507.76,431574.1236
post,Ulhasnagar,0,1781002.54,1039338.3954
post,Ulhasnagar - Humlog Circle,0,1326252.34,861379.9532
post,Ulhasnagar - Khemani Chowk,0,839572.94,509889.9164
post,Ulhasnagar Sector 4,0,1419000.87,912139.2532
post,Ulwe-Navi Mumbai,0,1511404.87,832126.2475
post,Vakola,0,1514835.0,959811.8289
post,Vasai West - Station Road,0,1555668.61,1010986.1392
post,Vashi,0,3471702.34,2159245.1197
post,Vashi Sector 11,0,1559614.11,932183.3389
post,Veenanagar,0,1411867.33,826464.745
post,Versova - Yari Road,0,1330358.13,805536.5296
post,Versova Andheri,0,3224684.39,2122854.6325
post,Vijay Nagari - Thane,0,2586998.68,1619792.3567
post,Vikhroli,0,4057014.54,2538706.3257
post,Vikhroli Kannamwar,0,2124001.46,1389605.0949
post,Vile Parle,0,1354839.25,907641.1594
post,Virar East,0,1610977.08,1022551.1487
post,Virar West,0,1435160.44,932652.4568
post,Wadgaon Budruk Pune,0,1048372.85,723999.4182
post,Wadgaon Sheri,0,1409688.91,953167.3271
post,Wadgaon Sheri-Old Mundhwa Rd,0,1120629.31,815517.7648
post,Wanawadi Pune,0,887672.03,545746.3757
post,Warje Pune,0,814026.88,558342.9358
post,Wayale Nagar,0,1321787.85,823221.4904
post,Yashodhan,0,3454094.95,2095727.7146
post,Yogi Nagar,0,1161939.41,663199.6199
post,Yogidham Kalyan,0,1013278.4028,714343.9544
