window,store_name,pilot,segment,units
pre,Tilak Road Pune,0,Ethical,3574
pre,Tilak Road Pune,0,GA,5891
pre,Tilak Road Pune,0,NGA,907
pre,Tilak Road Pune,0,Other,2245
pre,Tilaknagar,0,Ethical,3627
pre,Tilaknagar,0,GA,8964
pre,Tilaknagar,0,NGA,2040
pre,Tilaknagar,0,Other,3860
pre,Titwala,0,Ethical,6237
pre,Titwala,0,GA,6442
pre,Titwala,0,NGA,1996
pre,Titwala,0,Other,4417
pre,Trimurti Chowk Nashik,0,Ethical,1147
pre,Trimurti Chowk Nashik,0,GA,1333
pre,Trimurti Chowk Nashik,0,NGA,345
pre,Trimurti Chowk Nashik,0,Other,1164
pre,Ulhas Nagar - Shahad,0,Ethical,1914
pre,Ulhas Nagar - Shahad,0,GA,3313
pre,Ulhas Nagar - Shahad,0,NGA,1107
pre,Ulhas Nagar - Shahad,0,Other,3028
pre,Ulhas Nagar - Shreeram Chowk,0,Ethical,1078
pre,Ulhas Nagar - Shreeram Chowk,0,GA,3096
pre,Ulhas Nagar - Shreeram Chowk,0,NGA,536
pre,Ulhas Nagar - Shreeram Chowk,0,Other,3392
pre,Ulhasnagar,0,Ethical,4063
pre,Ulhasnagar,0,GA,8457
pre,Ulhasnagar,0,NGA,2540
pre,Ulhasnagar,0,Other,3536
pre,Ulhasnagar - Humlog Circle,0,Ethical,3182
pre,Ulhasnagar - Humlog Circle,0,GA,3609
pre,Ulhasnagar - Humlog Circle,0,NGA,1292
pre,Ulhasnagar - Humlog Circle,0,Other,3880
pre,Ulhasnagar - Khemani Chowk,0,Ethical,1388
pre,Ulhasnagar - Khemani Chowk,0,GA,3251
pre,Ulhasnagar - Khemani Chowk,0,NGA,872
pre,Ulhasnagar - Khemani Chowk,0,Other,2486
pre,Ulhasnagar Sector 4,0,Ethical,4220
pre,Ulhasnagar Sector 4,0,GA,5457
pre,Ulhasnagar Sector 4,0,NGA,1305
pre,Ulhasnagar Sector 4,0,Other,2146
pre,Ulwe-Navi Mumbai,0,Ethical,3419
pre,Ulwe-Navi Mumbai,0,GA,8556
pre,Ulwe-Navi Mumbai,0,NGA,2075
pre,Ulwe-Navi Mumbai,0,Other,2458
pre,Vakola,0,Ethical,4117
pre,Vakola,0,GA,6090
pre,Vakola,0,NGA,1620
pre,Vakola,0,Other,2481
